epoch,loss,val_loss
1,1.1595779050860489,1.1547681967417398
2,1.1483646714896487,1.1379482984542846
3,1.138562754580849,1.1323260227839151
4,1.1255812414905482,1.1152109702428181
5,1.1037514648939435,1.0895259618759154
6,1.0810943402742084,1.0722600142161052
7,1.0699567292865955,1.063234806060791
8,1.0627072066591496,1.0612008253733316
9,1.057841280050445,1.0517117778460185
10,1.0546784902873791,1.0501277208328248
11,1.0518948571723805,1.0514349301656087
12,1.0503333765163756,1.0462631066640218
13,1.0488868533519276,1.0482451915740967
14,1.0476866730472498,1.048362143834432
15,1.0469287111048113,1.0462020635604858
16,1.0457190630728739,1.0460778713226317
17,1.0455579402153952,1.0481170097986856
18,1.0446987298496984,1.0428733269373576
19,1.0437655532569217,1.0428312778472901
20,1.0432938211842586,1.0453445831934611
21,1.0427638564193458,1.0408445835113525
22,1.0419351594489918,1.0432734171549478
23,1.0415647510896648,1.0393595059712728
24,1.0410187871832597,1.0381327867507935
25,1.040519306534215,1.038598116238912
26,1.0403573533944916,1.038569164276123
27,1.040045179818806,1.0370576858520508
28,1.0393987935886049,1.0373818635940553
29,1.0397237392894008,1.0369115352630616
30,1.0389441502721686,1.0374042669932046
31,1.0385136374256068,1.0365270694096884
32,1.0385542836105615,1.0378129164377847
33,1.038366060507925,1.0369486331939697
34,1.0380842162851702,1.0378261009852092
35,1.0383371700320327,1.036503020922343
36,1.0378153114988093,1.035578735669454
37,1.0374919301585148,1.0344440579414367
38,1.0375724424395645,1.0358309666315715
39,1.037375847498576,1.0339487632115683
40,1.0368993261404205,1.0363508860270183
41,1.0365521907806396,1.0353258530298868
42,1.0366426978194923,1.035593827565511
43,1.0364226855729755,1.0349564949671428
44,1.0364401298656798,1.0334418853123983
45,1.0362460404111629,1.034883157412211
46,1.0357504685719807,1.0359227577845256
47,1.035893070070367,1.035585888226827
48,1.0356688938642804,1.0343589226404826
49,1.0354117719750655,1.0341137488683065
50,1.0356166111795526,1.0322616934776305
51,1.0356662921738207,1.0362558205922445
52,1.0353455480776335,1.036914380391439
53,1.035120073117708,1.0400780042012532
54,1.0350236829958464,1.0385536352793376
55,1.0349528329414235,1.0338007767995199
56,1.035146205048812,1.0334275563557942
57,1.0348499615987141,1.03290167649587
58,1.034813964576052,1.0343467632929484
59,1.0348826103043138,1.0359161535898844
60,1.0345215546457391,1.0333423217137654
